--------------------------
The resulting table
        No            item1            item2            item3
1        1             65.7            263.7               49
2        2            112.6            257.2             61.4
3        3            112.6            195.9             32.8
4        4            101.2            124.6             59.7
5        5            124.5            299.3               44
6        6             78.3            202.8             41.2
7        7            101.4            229.6             47.3
8        8             64.9            144.8             49.5
9        9            116.2              213             56.4
10      10            118.7            160.7             62.5
11      11             98.9            145.2             64.9
12      12              143            120.3             50.5
13      13             88.8              214               44
14      14               67            159.1             46.7
15      15            102.3            240.4             51.3
16      16            107.7              195             53.3
17      17             90.8            227.4             40.7
18      18            114.8            210.6             55.2
19      19            115.6            293.1               54
20      20             60.2              234             56.9
21      21            102.4            285.4             62.8
22      22            115.3            167.7             42.9
23      23            118.2               74             28.5
24      24             89.5            179.8             60.4
25      25               96            239.2             56.4
26      26            101.6            252.6               43
27      27            107.4            140.7             36.6
28      28             86.7            198.9             37.1
29      29            123.6            228.4             34.7
30      30            106.5            235.5             50.2
31      31            101.9              135             43.6
32      32             84.6            179.8             35.4
33      33            100.6            192.8             48.8
34      34            108.4            261.3             46.9
35      35            107.7            219.3             62.7
36      36             97.1            144.2               58
37      37            113.5            100.4             63.3
38      38            103.3            239.4               41
39      39            130.2            170.8             50.1
40      40             79.6            198.7             42.6
41      41            106.8            182.1             32.7
42      42            103.1            212.7             77.8
43      43             87.7            229.5             49.8
44      44             79.3             90.8             28.6
45      45             68.9            274.1             55.4
46      46             97.7             93.4             48.4
47      47             77.1            226.8             38.9
48      48            104.6              242               50
49      49            113.3              218             49.6
50      50            101.5            227.8             54.1
51      51             82.3            254.9             51.3
52      52            114.1            220.3             60.9
53      53             73.1            198.5             45.1
54      54             87.1            297.3             30.6
55      55               80            271.3             56.9
56      56            107.6            134.2             52.1
57      57            118.9            201.3               43
58      58            107.3            113.7               48
59      59               69             86.2             60.5
60      60             84.7            237.7             44.2
61      61            102.3            213.1               58
62      62             45.8            278.5             60.9
63      63            106.4            204.6             51.4
64      64            103.3            240.4               46
65      65             72.5            107.8             48.6
66      66             96.8            179.2             47.5
67      67             81.7            242.1             43.3
68      68            169.1            160.8             46.6
69      69             87.4            240.6             25.9
70      70             96.8            179.9             46.1
71      71             77.9              160             52.2
72      72             66.4            221.3             63.8
73      73              135            223.4             47.8
74      74             97.6            149.9             43.8
75      75             53.5            116.2             42.3
76      76             93.6              208             50.6
77      77             72.1            279.5             44.2
78      78            108.6            196.7             49.4
79      79            122.9              241             34.4
80      80            135.6            166.2             49.5
81      81            112.6            171.6             58.3
82      82            116.1            185.6             53.9
83      83            106.4              213             42.9
84      84            104.8            222.2             55.9
85      85            118.7            156.7             78.1
86      86             95.5            272.1             55.6
87      87            109.3              208             54.6
88      88            109.4            216.5             53.2
89      89             76.2              158             57.1
90      90             91.1            185.8             67.3
91      91             89.3            195.1               41
92      92             82.8            200.6             44.2
93      93            144.2            263.5             40.3
94      94            102.9            115.6             43.1
95      95            126.7            195.2             44.8
96      96             69.6              176             51.5
97      97              100            195.5             38.1
98      98             87.1            221.1             42.9
99      99               97            116.9             50.3
100    100              130            145.6             42.4
101   Mean           99.184           198.11            49.12
102 Median           101.55           202.05             49.2
103     SD 20.6776399020583 51.7517354415494 9.68927346099903
--------------------------
