------------------------------
rate of items
=------------------------------
            V2        V3        V4
1     65.70000 263.70000 49.000000
2    112.60000 257.20000 61.400000
3    112.60000 195.90000 32.800000
4    101.20000 124.60000 59.700000
5    124.50000 299.30000 44.000000
6     78.30000 202.80000 41.200000
7    101.40000 229.60000 47.300000
8     64.90000 144.80000 49.500000
9    116.20000 213.00000 56.400000
10   118.70000 160.70000 62.500000
11    98.90000 145.20000 64.900000
12   143.00000 120.30000 50.500000
13    88.80000 214.00000 44.000000
14    67.00000 159.10000 46.700000
15   102.30000 240.40000 51.300000
16   107.70000 195.00000 53.300000
17    90.80000 227.40000 40.700000
18   114.80000 210.60000 55.200000
19   115.60000 293.10000 54.000000
20    60.20000 234.00000 56.900000
21   102.40000 285.40000 62.800000
22   115.30000 167.70000 42.900000
23   118.20000  74.00000 28.500000
24    89.50000 179.80000 60.400000
25    96.00000 239.20000 56.400000
26   101.60000 252.60000 43.000000
27   107.40000 140.70000 36.600000
28    86.70000 198.90000 37.100000
29   123.60000 228.40000 34.700000
30   106.50000 235.50000 50.200000
31   101.90000 135.00000 43.600000
32    84.60000 179.80000 35.400000
33   100.60000 192.80000 48.800000
34   108.40000 261.30000 46.900000
35   107.70000 219.30000 62.700000
36    97.10000 144.20000 58.000000
37   113.50000 100.40000 63.300000
38   103.30000 239.40000 41.000000
39   130.20000 170.80000 50.100000
40    79.60000 198.70000 42.600000
41   106.80000 182.10000 32.700000
42   103.10000 212.70000 77.800000
43    87.70000 229.50000 49.800000
44    79.30000  90.80000 28.600000
45    68.90000 274.10000 55.400000
46    97.70000  93.40000 48.400000
47    77.10000 226.80000 38.900000
48   104.60000 242.00000 50.000000
49   113.30000 218.00000 49.600000
50   101.50000 227.80000 54.100000
51    82.30000 254.90000 51.300000
52   114.10000 220.30000 60.900000
53    73.10000 198.50000 45.100000
54    87.10000 297.30000 30.600000
55    80.00000 271.30000 56.900000
56   107.60000 134.20000 52.100000
57   118.90000 201.30000 43.000000
58   107.30000 113.70000 48.000000
59    69.00000  86.20000 60.500000
60    84.70000 237.70000 44.200000
61   102.30000 213.10000 58.000000
62    45.80000 278.50000 60.900000
63   106.40000 204.60000 51.400000
64   103.30000 240.40000 46.000000
65    72.50000 107.80000 48.600000
66    96.80000 179.20000 47.500000
67    81.70000 242.10000 43.300000
68   169.10000 160.80000 46.600000
69    87.40000 240.60000 25.900000
70    96.80000 179.90000 46.100000
71    77.90000 160.00000 52.200000
72    66.40000 221.30000 63.800000
73   135.00000 223.40000 47.800000
74    97.60000 149.90000 43.800000
75    53.50000 116.20000 42.300000
76    93.60000 208.00000 50.600000
77    72.10000 279.50000 44.200000
78   108.60000 196.70000 49.400000
79   122.90000 241.00000 34.400000
80   135.60000 166.20000 49.500000
81   112.60000 171.60000 58.300000
82   116.10000 185.60000 53.900000
83   106.40000 213.00000 42.900000
84   104.80000 222.20000 55.900000
85   118.70000 156.70000 78.100000
86    95.50000 272.10000 55.600000
87   109.30000 208.00000 54.600000
88   109.40000 216.50000 53.200000
89    76.20000 158.00000 57.100000
90    91.10000 185.80000 67.300000
91    89.30000 195.10000 41.000000
92    82.80000 200.60000 44.200000
93   144.20000 263.50000 40.300000
94   102.90000 115.60000 43.100000
95   126.70000 195.20000 44.800000
96    69.60000 176.00000 51.500000
97   100.00000 195.50000 38.100000
98    87.10000 221.10000 42.900000
99    97.00000 116.90000 50.300000
100  130.00000 145.60000 42.400000
101   99.18400 198.11000 49.120000
102   20.67764  51.75174  9.689273
0%    45.80000  74.00000 25.900000
25%   86.20000 160.77500 43.000000
50%  101.55000 202.05000 49.200000
75%  112.60000 234.37500 55.450000
100% 169.10000 299.30000 78.100000
108   13.20000  36.80000  6.225000
--------------------------------
